filename,width,height,class,xmin,ymin,xmax,ymax
PUZZLE_OFFICE_S_T_frame_1259.jpg,1280,720,hand,594,673,812,714
PUZZLE_OFFICE_S_T_frame_1259.jpg,1280,720,hand,576,35,746,171
CHESS_COURTYARD_B_T_frame_1039.jpg,1280,720,hand,682,346,819,452
CHESS_COURTYARD_B_T_frame_1039.jpg,1280,720,hand,489,330,659,436
CHESS_LIVINGROOM_H_T_frame_0223.jpg,1280,720,hand,7,455,399,718
CHESS_LIVINGROOM_H_T_frame_0223.jpg,1280,720,hand,1069,568,1279,718
CHESS_LIVINGROOM_H_T_frame_0223.jpg,1280,720,hand,876,273,1097,464
CHESS_LIVINGROOM_H_T_frame_0223.jpg,1280,720,hand,480,265,694,390
PUZZLE_COURTYARD_S_B_frame_1116.jpg,1280,720,hand,188,415,511,672
PUZZLE_COURTYARD_S_B_frame_1116.jpg,1280,720,hand,546,433,791,659
PUZZLE_COURTYARD_S_B_frame_1116.jpg,1280,720,hand,717,354,767,450
PUZZLE_COURTYARD_S_B_frame_1116.jpg,1280,720,hand,745,301,975,629
PUZZLE_LIVINGROOM_B_T_frame_2567.jpg,1280,720,hand,891,538,1277,713
PUZZLE_LIVINGROOM_B_T_frame_2567.jpg,1280,720,hand,562,316,767,505
PUZZLE_LIVINGROOM_B_T_frame_2567.jpg,1280,720,hand,2,275,185,472
CHESS_COURTYARD_S_H_frame_0584.jpg,1280,720,hand,650,456,1198,717
CHESS_COURTYARD_S_H_frame_0584.jpg,1280,720,hand,325,94,496,230
CHESS_COURTYARD_S_H_frame_0584.jpg,1280,720,hand,98,89,313,239
CHESS_OFFICE_S_B_frame_0696.jpg,1280,720,hand,676,565,1162,717
CHESS_OFFICE_S_B_frame_0696.jpg,1280,720,hand,510,147,704,282
CHESS_OFFICE_S_B_frame_0696.jpg,1280,720,hand,268,132,472,283
PUZZLE_OFFICE_T_S_frame_1506.jpg,1280,720,hand,3,439,304,714
PUZZLE_OFFICE_T_S_frame_1506.jpg,1280,720,hand,606,507,1012,719
PUZZLE_OFFICE_T_S_frame_1506.jpg,1280,720,hand,672,192,870,444
PUZZLE_OFFICE_T_S_frame_1506.jpg,1280,720,hand,444,236,656,507
JENGA_LIVINGROOM_B_H_frame_1085.jpg,1280,720,hand,612,214,1034,467
JENGA_LIVINGROOM_B_H_frame_1085.jpg,1280,720,hand,343,555,459,717
JENGA_COURTYARD_T_S_frame_2566.jpg,1280,720,hand,656,481,804,702
JENGA_COURTYARD_T_S_frame_2566.jpg,1280,720,hand,270,11,543,188
JENGA_LIVINGROOM_T_S_frame_0423.jpg,1280,720,hand,588,540,796,714
JENGA_LIVINGROOM_T_S_frame_0423.jpg,1280,720,hand,218,570,392,717
CHESS_LIVINGROOM_T_H_frame_2648.jpg,1280,720,hand,545,378,968,719
CHESS_LIVINGROOM_T_H_frame_2648.jpg,1280,720,hand,630,251,791,414
CHESS_LIVINGROOM_T_H_frame_2648.jpg,1280,720,hand,253,130,536,384
JENGA_LIVINGROOM_B_H_frame_1737.jpg,1280,720,hand,761,574,894,717
