filename,width,height,class,xmin,ymin,xmax,ymax
Skin_170.jpg,455,650,hand,101,366,205,465
Inria_216.jpg,649,849,hand,278,361,322,395
Inria_216.jpg,649,849,hand,256,376,293,412
Inria_216.jpg,649,849,hand,125,222,190,290
Buffy_359.jpg,618,622,hand,321,387,367,416
Movie_apollo13_81.jpg,720,390,hand,162,319,193,352
Movie_apollo13_81.jpg,720,390,hand,303,235,348,282
VOC2010_393.jpg,500,375,hand,273,345,311,384
VOC2010_393.jpg,500,375,hand,189,340,221,380
VOC2010_393.jpg,500,375,hand,313,162,345,210
Movie_4weds_53.jpg,720,576,hand,375,306,457,389
Movie_4weds_53.jpg,720,576,hand,295,409,344,477
VOC2007_130.jpg,375,500,hand,242,270,271,299
VOC2007_130.jpg,375,500,hand,217,298,246,327
VOC2007_130.jpg,375,500,hand,118,290,153,326
VOC2007_130.jpg,375,500,hand,78,304,118,345
VOC2010_785.jpg,328,500,hand,224,225,241,250
VOC2010_785.jpg,328,500,hand,109,223,131,246
Skin_130.jpg,397,666,hand,67,459,137,593
VOC2010_406.jpg,337,500,hand,211,250,224,285
VOC2010_406.jpg,337,500,hand,56,211,84,236
VOC2010_363.jpg,363,500,hand,7,302,126,406
VOC2010_363.jpg,363,500,hand,27,369,73,423
Poselet_98.jpg,1024,685,hand,762,349,769,361
Poselet_98.jpg,1024,685,hand,975,357,983,375
Poselet_98.jpg,1024,685,hand,922,353,939,371
Poselet_98.jpg,1024,685,hand,792,344,808,362
Poselet_98.jpg,1024,685,hand,711,361,729,381
Poselet_98.jpg,1024,685,hand,643,356,651,367
Poselet_98.jpg,1024,685,hand,613,380,630,402
Poselet_98.jpg,1024,685,hand,575,372,595,397
Poselet_98.jpg,1024,685,hand,276,245,287,256
Poselet_98.jpg,1024,685,hand,331,369,339,382
Poselet_98.jpg,1024,685,hand,283,409,304,430
Poselet_98.jpg,1024,685,hand,207,268,220,285
Poselet_98.jpg,1024,685,hand,189,286,208,299
Poselet_98.jpg,1024,685,hand,177,324,195,345
Poselet_98.jpg,1024,685,hand,135,345,160,370
Skin_187.jpg,320,240,hand,295,110,312,131
Skin_187.jpg,320,240,hand,115,132,133,146
Skin_187.jpg,320,240,hand,59,168,76,190
Skin_187.jpg,320,240,hand,191,31,204,48
